Unnamed: 0,Airline,Source,Destination,Total_Stops,Price,Day,Month,Dep_hour,Dep_minute,Duration_hour,Duration_minute
2833,Air Asia,Kolkata,Banglore,1,5192,15,5,22,40,12,0
2088,Jet Airways,Mumbai,Hyderabad,0,4995,3,9,6,30,1,30
1737,IndiGo,Chennai,Kolkata,0,3850,5,6,7,55,2,20
1051,Multiple carriers,Delhi,Cochin,1,12192,6,9,8,0,11,0
6079,Jet Airways,Kolkata,Banglore,1,10844,15,5,16,30,19,30
8834,IndiGo,Delhi,Cochin,1,5883,6,3,11,25,14,5
5321,Jet Airways,Banglore,Delhi,0,7229,18,4,18,55,3,5
767,Jet Airways,Delhi,Cochin,2,15129,21,5,19,10,23,50
1149,Multiple carriers,Delhi,Cochin,2,6197,27,3,7,10,14,10
7114,Jet Airways,Kolkata,Banglore,1,7064,4,1,18,55,28,40
5925,IndiGo,Mumbai,Hyderabad,0,7417,3,9,9,10,1,25
5488,Air India,Delhi,Cochin,2,11701,5,6,22,0,21,15
5912,Jet Airways,Delhi,Cochin,1,6540,21,3,8,0,20,25
5057,IndiGo,Delhi,Cochin,1,6442,15,6,8,35,13,55
3118,Multiple carriers,Delhi,Cochin,1,8371,4,9,8,45,10,30
6083,Air India,Mumbai,Hyderabad,2,12854,3,12,6,0,29,55
9031,IndiGo,Chennai,Kolkata,0,3597,5,3,19,35,2,20
8422,Jet Airways,Mumbai,Hyderabad,0,8040,15,3,7,10,1,25
830,Multiple carriers,Delhi,Cochin,1,7268,27,6,6,0,13,15
8856,Jet Airways,Banglore,New Delhi,2,23001,3,9,8,55,7,0
1680,Air Asia,Kolkata,Banglore,0,4384,18,3,10,20,2,35
2934,Multiple carriers,Delhi,Cochin,1,7530,6,9,19,0,6,30
6393,Jet Airways,Kolkata,Banglore,1,14151,15,5,17,0,28,5
7064,Jet Airways,Kolkata,Banglore,1,8586,15,5,16,30,7,5
4489,Jet Airways,Kolkata,Banglore,1,8529,6,12,18,55,23,20
2839,Jet Airways,Kolkata,Banglore,1,14781,21,5,21,10,12,10
8611,IndiGo,Banglore,New Delhi,1,8110,3,1,7,30,4,50
2060,Jet Airways,Kolkata,Banglore,1,14231,24,3,16,55,26,45
5191,Jet Airways,Kolkata,Banglore,1,10844,5,9,14,5,6,40
4680,Jet Airways,Delhi,Cochin,1,17234,3,6,7,5,21,20
9739,Jet Airways,Banglore,New Delhi,1,13817,3,12,18,55,15,30
1300,Multiple carriers,Delhi,Cochin,1,13587,6,1,9,0,12,0
4712,Jet Airways,Banglore,New Delhi,1,14815,3,6,22,50,25,55
591,Jet Airways,Banglore,Delhi,0,7229,6,1,7,10,3,0
221,Air India,Delhi,Cochin,1,8372,6,12,9,0,10,15
6084,Air India,Banglore,New Delhi,1,8425,3,9,22,0,13,5
6257,Air India,Kolkata,Banglore,0,5510,21,5,14,15,2,30
4911,IndiGo,Banglore,New Delhi,1,4259,3,9,16,55,4,55
860,IndiGo,Banglore,New Delhi,0,6144,3,3,0,40,2,45
3471,Air India,Chennai,Kolkata,0,4667,6,1,11,40,2,15
10421,Jet Airways,Kolkata,Banglore,1,10844,5,12,16,30,6,5
7395,SpiceJet,Banglore,New Delhi,0,6860,3,3,20,30,2,50
843,IndiGo,Banglore,Delhi,0,3943,5,9,23,30,2,50
8533,IndiGo,Delhi,Cochin,1,8574,27,3,18,35,7,0
8835,Jet Airways,Kolkata,Banglore,1,12692,6,12,20,25,13,20
8092,Vistara,Banglore,Delhi,0,5613,24,5,21,0,2,50
996,Jet Airways,Kolkata,Banglore,1,10844,21,5,20,0,8,40
3440,SpiceJet,Chennai,Kolkata,0,6300,3,9,9,30,2,35
1561,Jet Airways,Banglore,New Delhi,1,11087,3,12,20,35,22,35
3048,Jet Airways,Kolkata,Banglore,1,12121,24,5,20,25,18,0
9991,SpiceJet,Kolkata,Banglore,1,9923,24,3,11,35,7,15
4284,IndiGo,Mumbai,Hyderabad,0,17501,3,1,6,20,1,25
6071,Air India,Delhi,Cochin,1,7480,15,5,20,40,12,45
5273,Air Asia,Banglore,Delhi,0,7080,4,12,23,55,2,50
3225,Multiple carriers,Delhi,Cochin,1,11200,6,1,10,35,8,25
7365,Air India,Delhi,Cochin,2,10756,6,9,5,0,26,40
7530,Jet Airways,Kolkata,Banglore,1,14151,6,9,9,35,25,20
5055,Air India,Banglore,Delhi,0,6961,27,5,17,0,2,45
5440,IndiGo,Delhi,Cochin,1,5073,27,3,20,30,5,5
7310,Jet Airways,Delhi,Cochin,1,11822,4,9,22,50,13,45
400,Jet Airways,Banglore,New Delhi,1,11087,3,12,18,55,15,50
6660,Jet Airways,Banglore,Delhi,0,7229,18,4,7,10,3,0
3354,Jet Airways,Delhi,Cochin,2,21219,24,5,11,40,7,20
8177,Multiple carriers,Delhi,Cochin,1,13377,27,6,17,30,8,0
2327,Jet Airways,Delhi,Cochin,1,12373,18,5,17,30,10,55
7117,Multiple carriers,Delhi,Cochin,1,15058,24,6,7,5,12,10
3693,Jet Airways,Kolkata,Banglore,1,14571,6,9,16,30,7,5
59,Vistara,Mumbai,Hyderabad,1,12395,3,6,15,40,25,5
4251,IndiGo,Delhi,Cochin,1,6027,5,9,17,5,5,20
6822,Jet Airways,Kolkata,Banglore,1,7064,4,1,20,0,23,50
4499,Air India,Banglore,Delhi,0,6961,24,6,21,5,2,50
9423,Air India,Kolkata,Banglore,1,7893,4,1,20,30,12,25
1333,Air India,Banglore,New Delhi,0,4441,18,3,17,0,2,45
3106,Vistara,Kolkata,Banglore,1,8452,5,1,20,20,12,45
2844,SpiceJet,Kolkata,Banglore,0,4439,21,4,9,0,2,25
4473,Jet Airways,Delhi,Cochin,2,6643,21,3,19,10,23,40
9148,Air India,Banglore,Delhi,0,6121,15,4,10,0,2,45
1557,Multiple carriers,Delhi,Cochin,1,7530,6,3,17,45,7,45
1011,SpiceJet,Mumbai,Hyderabad,0,2017,15,5,22,45,1,30
1619,IndiGo,Banglore,Delhi,0,3943,6,3,21,15,3,0
2250,Jet Airways,Kolkata,Banglore,1,13759,24,3,19,45,23,55
6516,Jet Airways,Kolkata,Banglore,1,13584,5,6,21,10,12,55
648,IndiGo,Mumbai,Hyderabad,0,4049,21,6,6,25,1,30
881,Air India,Kolkata,Banglore,2,15532,15,5,9,25,28,20
2964,Jet Airways,Kolkata,Banglore,1,14571,6,6,18,55,17,5
4812,IndiGo,Banglore,New Delhi,1,4049,18,3,16,55,4,55
7430,IndiGo,Kolkata,Banglore,0,5618,3,6,15,10,2,35
550,IndiGo,Delhi,Cochin,1,5073,24,4,7,35,4,35
7656,IndiGo,Delhi,Cochin,1,6593,6,1,16,0,5,0
2763,Vistara,Banglore,Delhi,0,4668,6,6,9,45,2,50
3248,SpiceJet,Chennai,Kolkata,0,3859,24,3,8,20,2,15
5720,IndiGo,Delhi,Cochin,1,14871,3,3,8,25,12,35
211,SpiceJet,Delhi,Cochin,1,5583,6,6,6,5,5,15
8738,Air India,Kolkata,Banglore,2,10151,18,5,12,0,9,50
8464,Air India,Kolkata,Banglore,0,5170,18,3,14,15,2,30
7859,IndiGo,Banglore,Delhi,0,4284,5,6,1,30,2,45
1445,Jet Airways,Kolkata,Banglore,1,13067,5,6,9,35,25,20
5058,Jet Airways,Kolkata,Banglore,1,8586,15,5,14,5,9,30
697,IndiGo,Chennai,Kolkata,0,3858,18,3,13,20,2,15
7205,Air India,Banglore,New Delhi,1,11444,3,3,11,5,11,40
8802,Jet Airways,Kolkata,Banglore,1,8824,24,3,6,30,16,55
1319,Jet Airways,Kolkata,Banglore,1,14151,24,5,20,25,21,35
5958,IndiGo,Kolkata,Banglore,1,4565,24,4,15,15,4,50
10467,Vistara,Banglore,Delhi,0,4668,18,5,21,0,2,50
12,Air India,Chennai,Kolkata,0,4667,24,6,11,40,2,15
3345,Air India,Delhi,Cochin,1,7480,5,9,6,5,27,20
9784,Air Asia,Banglore,New Delhi,0,3383,24,3,11,10,2,45
1352,Multiple carriers,Delhi,Cochin,1,10678,6,12,4,55,7,40
9206,Jet Airways,Delhi,Cochin,1,14714,6,1,21,50,6,35
453,GoAir,Banglore,Delhi,0,4937,18,4,11,40,2,50
5471,SpiceJet,Kolkata,Banglore,0,3873,6,1,6,55,2,35
5550,Jet Airways,Kolkata,Banglore,1,14388,5,9,21,10,11,5
8257,Jet Airways,Kolkata,Banglore,1,14781,5,1,16,30,6,5
9291,Vistara,Kolkata,Banglore,1,9187,5,9,20,20,12,45
8528,SpiceJet,Chennai,Kolkata,0,3543,24,5,8,20,2,15
37,Air India,Kolkata,Banglore,0,6245,18,5,14,15,2,30
1047,Jet Airways,Kolkata,Banglore,1,10844,21,5,21,10,19,10
4999,Jet Airways,Kolkata,Banglore,1,12384,24,5,20,25,13,20
942,IndiGo,Banglore,Delhi,0,3943,5,12,4,0,2,50
4305,Vistara,Kolkata,Banglore,1,8820,6,6,20,20,22,30
2597,Jet Airways,Kolkata,Banglore,1,7064,4,1,18,55,25,50
3718,Jet Airways,Banglore,Delhi,0,7229,5,12,18,55,3,5
538,Jet Airways,Banglore,Delhi,0,7229,4,6,15,15,2,55
9362,IndiGo,Delhi,Cochin,1,5073,4,1,20,25,5,5
8241,IndiGo,Delhi,Cochin,1,6937,27,4,16,0,5,0
1406,Air India,Banglore,Delhi,0,5228,15,4,13,20,2,50
4520,Jet Airways,Delhi,Cochin,1,12373,5,9,18,15,18,20
5278,SpiceJet,Chennai,Kolkata,0,3597,5,3,17,45,2,20
8102,SpiceJet,Chennai,Kolkata,0,3597,5,9,9,45,2,15
9219,Air India,Delhi,Cochin,2,11753,6,12,10,55,8,20
6169,Jet Airways,Banglore,New Delhi,1,14815,3,6,11,40,13,5
4747,Jet Airways,Kolkata,Banglore,1,10844,18,5,20,0,23,50
2303,Jet Airways,Kolkata,Banglore,1,12121,5,9,17,0,16,45
3467,Multiple carriers,Delhi,Cochin,1,11667,27,3,8,0,10,50
4752,Jet Airways,Kolkata,Banglore,1,10844,21,5,21,10,12,10
5150,Air India,Delhi,Cochin,0,6094,21,4,5,10,2,50
3321,Jet Airways,Banglore,Delhi,0,8016,6,1,15,15,2,55
7411,Vistara,Banglore,Delhi,0,4668,5,1,11,30,2,50
4288,Jet Airways,Delhi,Cochin,2,11702,21,3,5,30,13,20
6961,Air India,Delhi,Cochin,1,11241,15,6,10,0,9,15
9650,Multiple carriers,Delhi,Cochin,1,8266,6,6,6,0,13,15
3729,Air India,Delhi,Cochin,2,11753,6,12,10,55,20,45
9146,IndiGo,Banglore,New Delhi,0,7648,3,3,13,0,2,50
1750,Jet Airways,Kolkata,Banglore,1,14151,5,12,9,35,11,30
3985,SpiceJet,Kolkata,Banglore,0,3815,15,3,22,20,2,20
8400,SpiceJet,Delhi,Cochin,1,5975,5,9,17,55,4,55
3804,Multiple carriers,Delhi,Cochin,1,8614,15,6,7,30,11,45
4414,Air India,Delhi,Cochin,2,11732,6,12,18,45,24,30
6251,Jet Airways,Delhi,Cochin,1,12373,5,9,10,0,26,35
5649,Jet Airways,Delhi,Cochin,1,15764,3,9,2,15,17,30
3183,Air India,Kolkata,Banglore,2,15894,6,6,14,30,18,25
1570,Air Asia,Kolkata,Banglore,0,4409,24,5,10,20,2,35
3778,IndiGo,Kolkata,Banglore,0,4148,18,3,22,10,2,45
2925,Jet Airways,Mumbai,Hyderabad,0,3210,24,5,19,35,1,30
9746,Air India,Banglore,New Delhi,1,12704,3,1,9,30,26,35
4321,Jet Airways,Kolkata,Banglore,1,13759,24,3,8,25,20,20
9478,IndiGo,Kolkata,Banglore,1,3809,5,6,19,20,4,25
8435,Multiple carriers,Delhi,Cochin,1,7354,6,6,11,25,7,50
9533,Jet Airways,Kolkata,Banglore,1,10031,24,3,21,10,25,25
9885,Air India,Kolkata,Banglore,2,11201,24,5,5,50,14,35
9505,IndiGo,Delhi,Cochin,1,5684,27,6,11,25,14,5
2504,GoAir,Banglore,New Delhi,0,5706,3,9,20,55,2,55
7886,Jet Airways,Delhi,Cochin,2,11150,27,6,13,25,23,10
5949,Jet Airways,Kolkata,Banglore,1,13067,5,6,20,25,22,45
2576,Jet Airways,Delhi,Cochin,1,12898,21,5,20,55,22,5
9237,Air Asia,Kolkata,Banglore,0,4107,21,5,22,50,2,30
8518,Jet Airways,Delhi,Cochin,1,10262,24,6,2,15,10,20
9823,IndiGo,Kolkata,Banglore,1,4226,5,9,6,20,4,0
2230,IndiGo,Delhi,Cochin,1,7006,24,5,7,30,13,30
835,Jet Airways,Kolkata,Banglore,1,10844,18,5,16,30,25,45
8261,Air Asia,Kolkata,Banglore,0,4409,21,4,10,20,2,35
8493,Jet Airways,Delhi,Cochin,1,16289,3,9,19,15,9,10
2586,IndiGo,Delhi,Cochin,1,6790,21,3,8,35,7,35
2847,Jet Airways,Kolkata,Banglore,1,8586,24,5,18,55,9,45
5613,Jet Airways,Kolkata,Banglore,1,13469,6,6,17,0,6,35
9201,IndiGo,Delhi,Cochin,0,5000,27,6,14,25,3,15
3647,IndiGo,Mumbai,Hyderabad,0,5755,3,3,12,0,1,25
9603,IndiGo,Banglore,Delhi,0,3419,6,12,0,30,2,55
7391,Jet Airways,Delhi,Cochin,1,10262,24,6,18,15,10,10
2980,Air India,Kolkata,Banglore,2,10991,5,1,5,50,34,25
4773,IndiGo,Kolkata,Banglore,0,4804,6,1,21,25,2,40
9639,IndiGo,Chennai,Kolkata,0,3597,24,6,19,35,2,20
4959,Jet Airways,Kolkata,Banglore,1,12692,6,9,17,0,29,5
7995,SpiceJet,Delhi,Cochin,1,5583,24,6,15,45,6,20
7360,IndiGo,Kolkata,Banglore,0,4174,4,1,17,15,2,35
1202,Jet Airways,Banglore,New Delhi,1,13817,3,12,21,25,15,0
9684,Jet Airways,Banglore,Delhi,0,7229,6,9,17,45,3,0
3570,Air India,Delhi,Cochin,2,11911,3,9,16,40,26,35
7068,Multiple carriers,Delhi,Cochin,1,13377,6,6,11,30,14,0
1436,Jet Airways,Delhi,Cochin,1,6960,27,3,13,0,15,25
6790,IndiGo,Mumbai,Hyderabad,0,4049,6,12,6,25,1,30
7739,Jet Airways,Kolkata,Banglore,1,14231,24,3,18,55,13,15
1158,Air India,Banglore,New Delhi,0,5176,24,3,17,0,2,45
6427,SpiceJet,Banglore,Delhi,0,3919,15,4,21,10,2,55
4695,Jet Airways,Delhi,Cochin,1,17024,3,3,9,0,9,50
4853,Multiple carriers,Delhi,Cochin,1,7670,15,5,6,0,15,0
5450,Jet Airways,Banglore,Delhi,0,5198,5,12,6,0,2,45
4109,IndiGo,Delhi,Cochin,2,10278,3,1,4,55,16,25
966,Air India,Delhi,Cochin,2,10493,21,5,5,55,37,20
8150,Multiple carriers,Delhi,Cochin,1,10197,21,5,8,0,11,0
10210,Air India,Kolkata,Banglore,1,6535,24,3,16,45,28,20
4588,Air India,Banglore,New Delhi,0,4441,24,3,13,20,2,50
2425,Vistara,Banglore,Delhi,0,4668,27,5,21,0,2,50
1490,IndiGo,Delhi,Cochin,1,6442,6,12,8,35,7,35
8754,Air India,Delhi,Cochin,1,8372,6,6,21,0,10,40
3503,Multiple carriers,Delhi,Cochin,1,9205,18,5,8,30,10,30
5933,Air India,Delhi,Cochin,2,10441,5,9,5,0,38,15
1433,Jet Airways,Kolkata,Banglore,1,14571,6,6,18,55,15,10
4083,SpiceJet,Banglore,Delhi,0,4319,18,4,5,55,2,40
2195,IndiGo,Kolkata,Banglore,1,3809,24,5,19,20,4,25
6906,Jet Airways,Banglore,Delhi,0,7229,4,1,18,55,3,5
6216,Jet Airways,Kolkata,Banglore,1,10844,18,5,16,30,23,50
1062,IndiGo,Delhi,Cochin,1,7318,21,5,9,15,11,45
4672,Air India,Delhi,Cochin,2,12497,3,3,21,30,21,45
9154,SpiceJet,Kolkata,Banglore,0,3841,24,6,6,55,2,35
3753,IndiGo,Mumbai,Hyderabad,0,2227,27,6,21,20,1,30
9430,IndiGo,Delhi,Cochin,1,5054,27,5,7,35,4,35
5346,Jet Airways,Delhi,Cochin,2,6643,27,3,19,10,33,15
8531,IndiGo,Delhi,Cochin,1,6582,24,6,7,15,5,15
1551,Jet Airways,Delhi,Cochin,2,9296,27,3,6,20,37,25
3812,Air India,Delhi,Cochin,0,4729,4,3,14,10,3,0
9447,IndiGo,Chennai,Kolkata,0,3597,5,9,19,35,2,20
10330,Jet Airways,Delhi,Cochin,2,13014,6,9,9,40,9,20
4539,Air India,Delhi,Cochin,0,6934,27,5,14,10,3,0
725,IndiGo,Kolkata,Banglore,0,4174,18,4,17,15,2,35
8507,IndiGo,Delhi,Cochin,1,6093,15,6,7,30,13,30
6117,IndiGo,Banglore,Delhi,0,4823,18,5,7,10,2,55
1132,IndiGo,Delhi,Cochin,1,5647,3,6,6,40,5,20
6605,Jet Airways,Banglore,New Delhi,1,27992,3,1,7,0,14,20
5751,SpiceJet,Delhi,Cochin,1,5409,6,9,17,55,4,55
9855,Air Asia,Banglore,Delhi,0,3383,27,5,11,10,2,45
6229,IndiGo,Delhi,Cochin,1,6628,27,5,15,0,10,30
9016,SpiceJet,Kolkata,Banglore,0,3873,18,4,6,55,2,35
5169,Jet Airways,Banglore,Delhi,0,7229,18,5,11,10,2,55
9457,Jet Airways,Banglore,New Delhi,1,9134,15,3,5,45,9,30
1568,IndiGo,Mumbai,Hyderabad,0,2227,5,12,21,20,1,30
8553,IndiGo,Kolkata,Banglore,0,5224,18,4,14,25,2,30
5166,IndiGo,Delhi,Cochin,1,7010,15,6,5,10,4,55
5339,Air India,Delhi,Cochin,2,10651,15,5,12,0,19,40
5592,Jet Airways,Kolkata,Banglore,1,11467,4,1,20,25,21,35
8082,Multiple carriers,Delhi,Cochin,1,10406,6,12,7,5,13,55
3247,Jet Airways,Banglore,New Delhi,1,7832,21,3,20,35,13,50
6433,Air India,Delhi,Cochin,1,9929,6,1,8,0,11,15
2986,Jet Airways,Banglore,Delhi,0,5769,6,3,15,15,2,55
10230,Jet Airways,Kolkata,Banglore,1,14151,5,1,20,25,25,40
2430,Jet Airways,Delhi,Cochin,1,12373,18,5,20,55,15,40
3661,Jet Airways,Kolkata,Banglore,1,10844,6,6,16,30,6,5
7751,Jet Airways,Banglore,New Delhi,1,17261,3,6,11,40,21,20
7627,Air India,Kolkata,Banglore,1,10203,5,6,17,30,15,25
8803,IndiGo,Delhi,Cochin,1,7060,3,9,2,0,5,45
9970,IndiGo,Chennai,Kolkata,0,7295,3,3,11,35,2,25
8364,Air India,Delhi,Cochin,0,6094,27,5,18,5,3,5
1398,Air India,Banglore,Delhi,0,5228,5,6,21,5,2,50
753,Air India,Delhi,Cochin,1,8582,6,1,21,0,22,15
8238,Jet Airways,Delhi,Cochin,2,15129,21,5,5,30,13,30
5641,Jet Airways,Delhi,Cochin,1,10262,24,6,17,30,25,30
3962,Jet Airways,Delhi,Cochin,2,10919,6,12,6,45,21,40
3667,Air India,Delhi,Cochin,1,16352,3,3,17,20,16,5
17,Jet Airways,Delhi,Cochin,1,10262,6,12,14,0,22,35
1781,SpiceJet,Chennai,Kolkata,0,3543,21,6,8,20,2,15
1901,Jet Airways,Delhi,Cochin,2,15129,27,5,13,25,23,10
1649,GoAir,Delhi,Cochin,1,5842,15,6,7,25,6,10
2333,Jet Airways,Banglore,New Delhi,1,7280,21,3,9,45,4,40
132,Vistara,Delhi,Cochin,0,6216,5,12,14,40,3,10
5420,Jet Airways,Delhi,Cochin,2,11507,15,6,5,30,13,30
6167,Jet Airways,Mumbai,Hyderabad,0,5678,18,6,2,55,1,25
6508,SpiceJet,Kolkata,Banglore,0,3847,15,3,22,20,2,20
8517,SpiceJet,Mumbai,Hyderabad,0,1965,18,6,22,45,1,30
1100,Vistara,Banglore,Delhi,0,4668,5,9,7,0,2,40
4057,SpiceJet,Kolkata,Banglore,0,3841,5,9,9,0,2,25
4396,Air India,Kolkata,Banglore,2,12009,6,6,7,0,22,25
527,Jet Airways,Delhi,Cochin,1,12898,27,5,14,0,5,0
10301,Jet Airways,Delhi,Cochin,1,10262,27,6,15,0,21,35
2017,Multiple carriers,Delhi,Cochin,1,15136,3,6,11,30,9,30
4219,Air India,Banglore,Delhi,0,5228,15,6,21,5,2,50
168,Jet Airways,Delhi,Cochin,1,6540,27,3,19,15,9,10
6574,Air India,Kolkata,Banglore,1,8996,5,6,9,10,4,5
1932,Multiple carriers,Delhi,Cochin,1,13587,15,6,8,0,13,0
702,Jet Airways,Delhi,Cochin,2,16704,5,1,23,5,29,20
6059,Jet Airways,Delhi,Cochin,2,8098,27,3,5,10,38,35
4062,Multiple carriers,Delhi,Cochin,1,21226,3,3,16,0,9,35
6207,IndiGo,Delhi,Cochin,1,6979,5,6,10,35,14,55
5086,SpiceJet,Mumbai,Hyderabad,0,2385,15,3,5,45,1,20
8399,Jet Airways,Delhi,Cochin,1,5177,4,1,14,0,5,0
7610,Jet Airways,Kolkata,Banglore,1,13731,24,5,20,0,8,40
773,Multiple carriers,Delhi,Cochin,1,6795,6,9,11,40,13,50
1303,Jet Airways,Delhi,Cochin,1,12898,21,5,21,50,21,10
9591,Jet Airways,Banglore,Delhi,0,5198,5,12,11,10,2,55
1358,IndiGo,Kolkata,Banglore,1,5069,4,1,8,10,4,50
4206,Jet Airways,Delhi,Cochin,2,17019,3,9,13,45,14,40
8227,IndiGo,Delhi,Cochin,1,7318,21,5,9,15,16,15
1292,IndiGo,Kolkata,Banglore,0,4804,21,6,4,40,2,35
6809,SpiceJet,Chennai,Kolkata,0,3543,27,6,8,20,2,15
7107,Air India,Kolkata,Banglore,2,9416,6,6,12,0,9,50
8719,Multiple carriers,Delhi,Cochin,1,11622,21,3,11,30,7,20
4503,Multiple carriers,Delhi,Cochin,1,13587,27,6,14,0,7,0
4500,SpiceJet,Kolkata,Banglore,0,4174,6,12,17,10,2,30
2028,Air India,Kolkata,Banglore,2,14960,6,12,16,45,19,45
7777,Jet Airways,Kolkata,Banglore,1,13626,6,12,6,30,5,30
3833,Air India,Mumbai,Hyderabad,1,11678,3,6,16,0,7,45
8565,Jet Airways,Kolkata,Banglore,1,14388,15,5,21,10,7,30
2724,SpiceJet,Mumbai,Hyderabad,0,1965,21,5,22,45,1,30
3454,SpiceJet,Kolkata,Banglore,0,3841,4,1,6,55,2,35
2164,Air India,Kolkata,Banglore,2,9258,4,1,12,0,23,10
5408,Jet Airways,Banglore,New Delhi,1,13817,3,12,16,55,17,50
10358,Vistara,Chennai,Kolkata,0,11982,21,6,17,45,2,20
8229,SpiceJet,Kolkata,Banglore,1,10654,24,3,15,55,5,20
449,Jet Airways,Kolkata,Banglore,1,7064,4,1,18,55,24,55
3827,Air India,Delhi,Cochin,2,13591,15,6,20,15,23,0
8574,IndiGo,Delhi,Cochin,1,5883,6,6,10,35,14,55
7295,IndiGo,Delhi,Cochin,1,6442,6,12,7,35,8,35
812,Jet Airways,Kolkata,Banglore,1,13941,18,5,16,30,12,10
6760,IndiGo,Delhi,Cochin,1,6093,27,6,6,40,14,20
9367,Air India,Kolkata,Banglore,2,14424,5,9,10,0,19,25
5818,Vistara,Banglore,New Delhi,0,8028,3,3,9,50,2,45
4777,IndiGo,Kolkata,Banglore,0,4804,6,12,9,35,2,45
7811,Air India,Mumbai,Hyderabad,0,3100,18,6,6,20,1,20
7076,Multiple carriers,Delhi,Cochin,1,9526,6,1,10,20,8,55
